barrio,poligono
1,"[(-58.5879566, -34.4698276),  (-58.5874545, -34.4705609),  (-58.5868635, -34.4713968),  (-58.5879166, -34.4718777),  (-58.5890447, -34.4724271),  (-58.5901460, -34.4729535),  (-58.5907261, -34.4721129),  (-58.5912502, -34.4713618),  (-58.5901270, -34.4708441),  (-58.5890472, -34.4703359),  (-58.5879566, -34.4698276)]"
2,"[(-58.5912502, -34.4713618),  (-58.5907261, -34.4721129),  (-58.5901460, -34.4729535),  (-58.5899619, -34.4732173),  (-58.5896328, -34.4736957),  (-58.5907018, -34.4742038),  (-58.5917924, -34.4747212),  (-58.5923055, -34.4739789),  (-58.5928854, -34.4731474),  (-58.5934096, -34.4723962),  (-58.5923190, -34.4718789),  (-58.5912502, -34.4713618)]"
3,"[(-58.5518254, -34.4461046),  (-58.5510481, -34.4466993),  (-58.5502812, -34.4473167),  (-58.5494268, -34.4479645),  (-58.5485010, -34.4486521),  (-58.5491760, -34.4492550),  (-58.5499264, -34.4499039),  (-58.5506122, -34.4505159),  (-58.5507517, -34.4506302),  (-58.5508697, -34.4507263),  (-58.5515916, -34.4501940),  (-58.5515221, -34.4501211),  (-58.5513779, -34.4499662),  (-58.5521821, -34.4493943),  (-58.5522572, -34.4494583),  (-58.5533419, -34.4487050),  (-58.5542011, -34.4480932),  (-58.5538686, -34.4478144),  (-58.5533003, -34.4473299),  (-58.5525493, -34.4467171),  (-58.5518254, -34.4461046)]"
4,"[(-58.5530352, -34.4273706),  (-58.5474972, -34.4299550),  (-58.5484516, -34.4310659),  (-58.5485838, -34.4309684),  (-58.5492290, -34.4307732),  (-58.5504113, -34.4319139),  (-58.5511407, -34.4312511),  (-58.5513337, -34.4314156),  (-58.5520304, -34.4320188),  (-58.5523787, -34.4323248),  (-58.5530270, -34.4328914),  (-58.5538042, -34.4335631),  (-58.5538072, -34.4333873),  (-58.5544306, -34.4328764),  (-58.5552876, -34.4336482),  (-58.5555128, -34.4338401),  (-58.5560165, -34.4342833),  (-58.5567667, -34.4349411),  (-58.5570131, -34.4351603),  (-58.5577754, -34.4344798),  (-58.5585379, -34.4337902),  (-58.5583878, -34.4336623),  (-58.5576751, -34.4330409),  (-58.5570426, -34.4324926),  (-58.5568982, -34.4323512),  (-58.5560568, -34.4316202),  (-58.5542563, -34.4300486),  (-58.5538223, -34.4296694),  (-58.5537257, -34.4295961),  (-58.5537754, -34.4295516),  (-58.5533841, -34.4292135),  (-58.5534229, -34.4291734),  (-58.5529562, -34.4287983),  (-58.5532097, -34.4286030),  (-58.5531961, -34.4284451),  (-58.5537791, -34.4280735),  (-58.5530352, -34.4273706)]"
5,"[(-58.5461553, -34.4465060),  (-58.5443430, -34.4468630),  (-58.5441464, -34.4469058),  (-58.5431422, -34.4470921),  (-58.5423181, -34.4472445),  (-58.5406593, -34.4475267),  (-58.5394160, -34.4476966),  (-58.5389950, -34.4478178),  (-58.5382397, -34.4480791),  (-58.5398045, -34.4488189),  (-58.5407328, -34.4492446),  (-58.5412347, -34.4494805),  (-58.5416717, -34.4496885),  (-58.5429991, -34.4503173),  (-58.5434124, -34.4500157),  (-58.5439525, -34.4496120),  (-58.5440572, -34.4495367),  (-58.5443879, -34.4492882),  (-58.5447409, -34.4490130),  (-58.5448293, -34.4489374),  (-58.5454187, -34.4485163),  (-58.5460033, -34.4480591),  (-58.5461685, -34.4479393),  (-58.5469574, -34.4473088),  (-58.5461553, -34.4465060)]"
6,"[(-58.5331750, -34.4499384),  (-58.5321422, -34.4492635),  (-58.5314818, -34.4487643),  (-58.5307311, -34.4481424),  (-58.5297978, -34.4473830),  (-58.5288286, -34.4477409),  (-58.5287481, -34.4476768),  (-58.5286032, -34.4475624),  (-58.5277829, -34.4468765),  (-58.5262275, -34.4474707),  (-58.5250877, -34.4479347),  (-58.5241836, -34.4483068),  (-58.5238765, -34.4481364),  (-58.5230186, -34.4483514),  (-58.5217618, -34.4486652),  (-58.5206089, -34.4489487),  (-58.5206736, -34.4489810),  (-58.5208301, -34.4490550),  (-58.5235922, -34.4503773),  (-58.5275667, -34.4523767),  (-58.5283251, -34.4519442),  (-58.5290943, -34.4515118),  (-58.5291383, -34.4514853),  (-58.5292811, -34.4514059),  (-58.5300507, -34.4509554),  (-58.5302046, -34.4508671),  (-58.5312204, -34.4506450),  (-58.5313405, -34.4506194),  (-58.5318201, -34.4505711),  (-58.5320285, -34.4504744),  (-58.5323795, -34.4503164),  (-58.5331750, -34.4499384)]"
7,"[(-58.5526582, -34.4429237),  (-58.5519344, -34.4423112),  (-58.5511246, -34.4428965),  (-58.5511075, -34.4429459),  (-58.5506612, -34.4432741),  (-58.5503741, -34.4435140),  (-58.5495473, -34.4441397),  (-58.5502771, -34.4447252),  (-58.5502983, -34.4447525),  (-58.5510480, -34.4454419),  (-58.5511362, -34.4453754),  (-58.5518531, -34.4448160),  (-58.5510814, -34.4441398),  (-58.5518312, -34.4435628),  (-58.5518533, -34.4435451),  (-58.5518753, -34.4435273),  (-58.5526582, -34.4429237)]"
8,"[(-58.5526582, -34.4429237),  (-58.5518753, -34.4435273),  (-58.5518533, -34.4435451),  (-58.5518312, -34.4435628),  (-58.5510814, -34.4441398),  (-58.5518531, -34.4448160),  (-58.5511362, -34.4453754),  (-58.5510480, -34.4454419),  (-58.5518254, -34.4461046),  (-58.5526144, -34.4454650),  (-58.5533648, -34.4448519),  (-58.5533869, -34.4448342),  (-58.5541368, -34.4442481),  (-58.5533974, -34.4435904),  (-58.5526582, -34.4429237)]"
9,"[(-58.5542240, -34.4417163),  (-58.5534411, -34.4423200),  (-58.5526582, -34.4429237),  (-58.5533974, -34.4435904),  (-58.5541368, -34.4442481),  (-58.5549200, -34.4436264),  (-58.5549419, -34.4436177),  (-58.5557136, -34.4430319),  (-58.5549633, -34.4423741),  (-58.5542240, -34.4417163)]"
10,"[(-58.5533468, -34.4383259),  (-58.5532719, -34.4382529),  (-58.5524458, -34.4388380),  (-58.5528690, -34.4392216),  (-58.5535710, -34.4398338),  (-58.5542943, -34.4404778),  (-58.5550177, -34.4411128),  (-58.5557463, -34.4417614),  (-58.5565506, -34.4411760),  (-58.5558005, -34.4405091),  (-58.5550612, -34.4398514),  (-58.5543433, -34.4392120),  (-58.5533468, -34.4383259)]"
11,"[(-58.5581102, -34.4400046),  (-58.5573224, -34.4405812),  (-58.5565506, -34.4411760),  (-58.5557463, -34.4417614),  (-58.5564857, -34.4424191),  (-58.5572575, -34.4418243),  (-58.5579752, -34.4424817),  (-58.5587748, -34.4418512),  (-58.5595689, -34.4412251),  (-58.5588508, -34.4405947),  (-58.5581102, -34.4400046)]"
12,"[(-58.5604871, -34.4368508),  (-58.5596934, -34.4374544),  (-58.5604593, -34.4381529),  (-58.5611722, -34.4387697),  (-58.5619332, -34.4394367),  (-58.5611723, -34.4400361),  (-58.5618633, -34.4406572),  (-58.5625923, -34.4412922),  (-58.5626405, -34.4413334),  (-58.5626994, -34.4413881),  (-58.5634768, -34.4407843),  (-58.5642655, -34.4401491),  (-58.5642010, -34.4401033),  (-58.5641367, -34.4400485),  (-58.5634455, -34.4394319),  (-58.5627329, -34.4387971),  (-58.5619553, -34.4381480),  (-58.5612533, -34.4375313),  (-58.5604871, -34.4368508)]"
13,"[(-58.5564857, -34.4424191),  (-58.5557136, -34.4430319),  (-58.5564423, -34.4436805),  (-58.5571604, -34.4443109),  (-58.5578737, -34.4449052),  (-58.5579757, -34.4449830),  (-58.5580669, -34.4450562),  (-58.5588056, -34.4444925),  (-58.5584200, -34.4441410),  (-58.5579594, -34.4437164),  (-58.5572253, -34.4430678),  (-58.5564857, -34.4424191)]"
14,"[(-58.5689729, -34.4362068),  (-58.5689299, -34.4361747),  (-58.5683015, -34.4357032),  (-58.5682747, -34.4356803),  (-58.5682478, -34.4356620),  (-58.5674048, -34.4350166),  (-58.5667013, -34.4344901),  (-58.5642772, -34.4362869),  (-58.5650276, -34.4369402),  (-58.5657724, -34.4376024),  (-58.5664199, -34.4382275),  (-58.5664629, -34.4382550),  (-58.5665327, -34.4383099),  (-58.5673593, -34.4376841),  (-58.5686118, -34.4366487),  (-58.5690105, -34.4362342),  (-58.5689729, -34.4362068)]"
15,"[(-58.5629044, -34.4475243),  (-58.5625737, -34.4477728),  (-58.5621882, -34.4480477),  (-58.5617475, -34.4483670),  (-58.5610299, -34.4477006),  (-58.5602359, -34.4483222),  (-58.5594752, -34.4488991),  (-58.5601718, -34.4495202),  (-58.5605361, -34.4498490),  (-58.5609220, -34.4501870),  (-58.5616716, -34.4496190),  (-58.5624875, -34.4489976),  (-58.5633022, -34.4484394),  (-58.5639303, -34.4479780),  (-58.5629044, -34.4475243)]"
16,"[(-58.5594752, -34.4488991),  (-58.5588856, -34.4493383),  (-58.5586148, -34.4495830),  (-58.5578575, -34.4502771),  (-58.5570939, -34.4507098),  (-58.5565889, -34.4509652),  (-58.5566534, -34.4510110),  (-58.5572145, -34.4512881),  (-58.5579807, -34.4516577),  (-58.5587360, -34.4520271),  (-58.5590733, -34.4517111),  (-58.5593996, -34.4514040),  (-58.5601120, -34.4507859),  (-58.5609220, -34.4501870),  (-58.5605361, -34.4498490),  (-58.5601718, -34.4495202),  (-58.5594752, -34.4488991)]"
17,"[(-58.5572145, -34.4512881),  (-58.5567023, -34.4519671),  (-58.5561513, -34.4526861),  (-58.5569114, -34.4530917),  (-58.5576770, -34.4534974),  (-58.5578225, -34.4535802),  (-58.5587387, -34.4540868),  (-58.5591974, -34.4543040),  (-58.5602613, -34.4538163),  (-58.5604474, -34.4537508),  (-58.5612651, -34.4533413),  (-58.5607256, -34.4530736),  (-58.5597377, -34.4526248),  (-58.5587071, -34.4521259),  (-58.5587360, -34.4520271),  (-58.5579807, -34.4516577),  (-58.5572145, -34.4512881)]"
18,"[(-58.5498009, -34.4514978),  (-58.5491456, -34.4519542),  (-58.5483302, -34.4525484),  (-58.5476637, -34.4530183),  (-58.5485705, -34.4534391),  (-58.5489615, -34.4528489),  (-58.5497441, -34.4532142),  (-58.5507108, -34.4536268),  (-58.5516281, -34.4540703),  (-58.5526909, -34.4545877),  (-58.5530927, -34.4540065),  (-58.5535445, -34.4533629),  (-58.5525413, -34.4528553),  (-58.5516240, -34.4524118),  (-58.5506687, -34.4519678),  (-58.5499189, -34.4515983),  (-58.5498009, -34.4514978)]"
